name,smiles
c387,CC1=CC=CC=C1NC2=C(C#N)C(C3=CC=CC=C3)=NC(SCC4=CN(CC5=CC=C(Cl)C=C5)N=N4)=N2
c404,ClC1=CC=CC(NC2=C(C#N)C(C3=CC=C(C(C)C)C=C3)=NC(SCC4=CN(CC(NC(NC5=CC=CC=N5)=O)=O)N=N4)=N2)=C1
c441,O=C(NC1=CC=CC=N1)NC(CSC2=NC(NC3=CC=C(Cl)C=C3)=C(C#N)C(C4=CC(OC)=C(OC)C(OC)=C4)=N2)=O
c479,O=C(NC1=CC=CC=N1)NC(CSC2=NC(NC3=CC=CC([N+]([O-])=O)=C3)=C(C#N)C(C4=CC(OC)=C(OC)C(OC)=C4)=N2)=O
